
Time,TrialNum,TriggerNum,Referencelandmark,Displaylandmark, GroundTruthDirection_x, GroundTruthDirection_y, GroundTruthDirection_z, EstDirection_x, EstDirection_y, EstDirection_z, Angle
4/25/2023 10:24:33 AM,,,,,,,,,,,
4/25/2023 10:25:04 AM,0,1,R1L6_SkyScraper2,R1L1_Bridge,0.8460449,0,-0.5330894,0.7500911,0,-0.6597164,9.117
4/25/2023 10:25:13 AM,1,2,R1L6_SkyScraper2,R1L2_Skyscraper1,0.8460454,0,-0.5330897,0.6331921,0,-0.7716473,18.414
4/25/2023 10:25:15 AM,2,3,R1L6_SkyScraper2,R1L3_Church,0.3175491,0,-0.946856,0.02668345,0,-0.9986224,17.009
4/25/2023 10:25:20 AM,3,4,R1L6_SkyScraper2,R1L4_GasStation,0.2536356,0,-0.9672719,-0.2943211,0,-0.9539133,31.840
4/25/2023 10:25:22 AM,4,5,R1L6_SkyScraper2,R1L5_BasketballCourt,0.2536356,0,-0.9672718,-0.9039136,0,-0.4168004,79.938
4/25/2023 10:25:26 AM,5,6,R1L6_SkyScraper2,R1L7_FoodMart,0.8070653,0,-0.5895554,0.9895411,0,-0.1301842,28.653
4/25/2023 10:25:38 AM,6,8,R1L3_Church,R1L1_Bridge,0.8190198,0,0.5736957,0.6093243,0,0.7857674,17.198
4/25/2023 10:25:40 AM,7,9,R1L3_Church,R1L2_Skyscraper1,0.8190197,0,0.5736955,0.926472,0,0.3703488,13.221
4/25/2023 10:25:45 AM,8,10,R1L3_Church,R1L4_GasStation,-0.7468707,0,0.6648221,-0.9415966,0,0.3320526,22.249
4/25/2023 10:25:48 AM,9,11,R1L3_Church,R1L5_BasketballCourt,-0.7468705,0,0.664822,-0.7330869,0,0.6771226,1.054
4/25/2023 10:25:50 AM,10,12,R1L3_Church,R1L6_SkyScraper2,-0.3111501,0,0.9334503,-0.1680661,0,0.9797369,8.701
4/25/2023 10:25:54 AM,11,13,R1L3_Church,R1L7_FoodMart,0.1635938,0,0.9856794,0.1736356,0,0.9842213,0.581
4/25/2023 10:26:07 AM,12,15,R1L7_FoodMart,R1L1_Bridge,0.9124709,0,-0.4089989,0.8273575,0,-0.558284,9.867
4/25/2023 10:26:09 AM,13,16,R1L7_FoodMart,R1L2_Skyscraper1,0.9124706,0,-0.4089988,0.6385785,0,-0.7684885,26.132
4/25/2023 10:26:12 AM,14,17,R1L7_FoodMart,R1L3_Church,-0.1691208,0,-0.9821427,-0.1338696,0,-0.9909895,2.077
4/25/2023 10:26:17 AM,15,18,R1L7_FoodMart,R1L4_GasStation,-0.7322651,0,-0.6809126,-0.858856,0,-0.5074149,12.344
4/25/2023 10:26:19 AM,16,19,R1L7_FoodMart,R1L5_BasketballCourt,-0.7322648,0,-0.6809123,-0.9682555,0,0.2471297,57.237
4/25/2023 10:26:24 AM,17,20,R1L7_FoodMart,R1L6_SkyScraper2,-0.5677193,0,0.768567,-0.418088,0,0.9071605,11.708
4/25/2023 10:26:33 AM,18,22,R1L1_Bridge,R1L2_Skyscraper1,-0.7055022,0,0.6837431,-0.7486995,0,-0.6615921,85.568
4/25/2023 10:26:35 AM,19,23,R1L1_Bridge,R1L3_Church,-0.7107143,0,-0.6984059,-0.8220684,0,-0.542898,11.059
4/25/2023 10:26:43 AM,20,24,R1L1_Bridge,R1L4_GasStation,-0.9943092,0,-0.1062729,-0.8771022,0,0.4732175,34.449
4/25/2023 10:26:45 AM,21,25,R1L1_Bridge,R1L5_BasketballCourt,-0.9943092,0,-0.1062729,-0.3111905,0,0.9467015,77.904
4/25/2023 10:26:51 AM,22,26,R1L1_Bridge,R1L6_SkyScraper2,-0.7055044,0,0.6837452,0.5180435,0,0.8527717,77.175
4/25/2023 10:26:53 AM,23,27,R1L1_Bridge,R1L7_FoodMart,-0.8402369,0,0.5392969,0.8998257,0,0.3956045,123.574
