
Teleport Count,Teleport Time,TeleportPosition_x,TeleportPosition_y,TeleportPosition_z
1,4/25/2023 10:11:53 AM,712.1202,0.42,726.0776
2,4/25/2023 10:11:55 AM,707.1703,0.42,726.7687
3,4/25/2023 10:11:57 AM,702.1837,0.42,727.1312
4,4/25/2023 10:11:58 AM,697.2039,0.42,727.5356
5,4/25/2023 10:11:59 AM,692.2264,0.42,728.0049
6,4/25/2023 10:12:00 AM,687.2549,0.42,728.5251
7,4/25/2023 10:12:01 AM,682.2788,0.42,728.9993
8,4/25/2023 10:12:01 AM,677.3204,0.42,729.637
9,4/25/2023 10:12:02 AM,672.3386,0.42,730.016
10,4/25/2023 10:12:02 AM,667.3422,0.42,730.1646
11,4/25/2023 10:12:06 AM,666.5587,0.42,725.2292
12,4/25/2023 10:12:10 AM,666.4302,0.42,720.2323
13,4/25/2023 10:12:12 AM,665.9048,0.42,715.2606
14,4/25/2023 10:12:13 AM,665.6592,0.42,710.2697
15,4/25/2023 10:12:14 AM,665.3845,0.42,705.2808
16,4/25/2023 10:12:14 AM,665.2161,0.42,700.2864
17,4/25/2023 10:12:24 AM,664.6629,0.42,695.321
18,4/25/2023 10:12:24 AM,664.4463,0.42,690.329
19,4/25/2023 10:12:25 AM,664.0572,0.42,685.3464
20,4/25/2023 10:12:25 AM,663.6469,0.42,680.3648
21,4/25/2023 10:12:25 AM,663.2554,0.42,675.3833
22,4/25/2023 10:12:26 AM,663.1426,0.42,670.3886
23,4/25/2023 10:12:26 AM,662.921,0.42,665.3975
24,4/25/2023 10:12:27 AM,662.6483,0.42,660.4078
25,4/25/2023 10:12:27 AM,662.2857,0.42,655.4225
26,4/25/2023 10:12:28 AM,661.4899,0.42,650.4896
27,4/25/2023 10:12:28 AM,660.8544,0.42,645.5328
28,4/25/2023 10:12:28 AM,660.2092,0.42,640.5765
29,4/25/2023 10:12:29 AM,659.5929,0.42,635.6175
30,4/25/2023 10:12:29 AM,659.1029,0.42,630.6416
31,4/25/2023 10:12:30 AM,658.7694,0.42,625.6557
32,4/25/2023 10:12:30 AM,658.1307,0.42,620.6984
33,4/25/2023 10:12:33 AM,653.5027,0.42,618.8068
34,4/25/2023 10:12:35 AM,648.5371,0.42,618.2228
35,4/25/2023 10:12:37 AM,643.629,0.42,617.2751
36,4/25/2023 10:12:38 AM,638.6328,0.42,617.1162
37,4/25/2023 10:12:39 AM,633.6356,0.42,617.2
38,4/25/2023 10:12:45 AM,628.6481,0.42,617.5151
39,4/25/2023 10:12:45 AM,623.6497,0.42,617.4827
40,4/25/2023 10:12:48 AM,618.6544,0.42,617.3588
41,4/25/2023 10:12:49 AM,613.6596,0.42,617.5678
42,4/25/2023 10:12:49 AM,608.6664,0.42,617.7542
43,4/25/2023 10:12:49 AM,603.6695,0.42,617.8746
44,4/25/2023 10:12:50 AM,598.6714,0.42,617.9418
45,4/25/2023 10:12:52 AM,593.6733,0.42,617.8733
46,4/25/2023 10:12:52 AM,588.6799,0.42,617.623
47,4/25/2023 10:12:53 AM,583.684,0.42,617.5292
48,4/25/2023 10:12:53 AM,578.688,0.42,617.5307
49,4/25/2023 10:12:58 AM,573.6924,0.42,617.395
50,4/25/2023 10:12:59 AM,568.695,0.42,617.2781
51,4/25/2023 10:12:59 AM,563.6955,0.42,617.3164
52,4/25/2023 10:13:00 AM,558.6981,0.42,617.2872
53,4/25/2023 10:13:00 AM,553.6984,0.42,617.2303
54,4/25/2023 10:13:01 AM,548.7015,0.42,617.2164
55,4/25/2023 10:13:01 AM,543.7085,0.42,617.3865
56,4/25/2023 10:13:02 AM,538.7175,0.42,617.6321
57,4/25/2023 10:13:02 AM,533.7198,0.42,617.6158
58,4/25/2023 10:13:02 AM,528.7247,0.42,617.4709
59,4/25/2023 10:13:03 AM,523.7305,0.42,617.2875
60,4/25/2023 10:13:03 AM,518.7351,0.42,617.0743
61,4/25/2023 10:13:03 AM,513.7401,0.42,616.8729
62,4/25/2023 10:13:04 AM,508.7467,0.42,616.6356
63,4/25/2023 10:13:04 AM,503.7542,0.42,616.4106
64,4/25/2023 10:13:04 AM,498.7566,0.42,616.3889
65,4/25/2023 10:13:04 AM,493.7606,0.42,616.4134
66,4/25/2023 10:13:06 AM,492.3331,0.42,621.2043
67,4/25/2023 10:13:09 AM,492.1183,0.42,626.1975
68,4/25/2023 10:13:09 AM,491.866,0.42,631.1874
69,4/25/2023 10:13:10 AM,491.8249,0.42,636.1867
70,4/25/2023 10:13:11 AM,491.7266,0.42,641.1829
71,4/25/2023 10:13:12 AM,491.5398,0.42,646.1768
72,4/25/2023 10:13:12 AM,491.4248,0.42,651.174
73,4/25/2023 10:13:13 AM,491.2893,0.42,656.1702
74,4/25/2023 10:13:13 AM,490.9445,0.42,661.1554
75,4/25/2023 10:13:14 AM,490.6545,0.42,666.1443
76,4/25/2023 10:13:14 AM,490.4196,0.42,671.1373
77,4/25/2023 10:13:15 AM,490.5588,0.42,676.1321
78,4/25/2023 10:13:16 AM,490.994,0.42,681.1123
79,4/25/2023 10:13:17 AM,490.9022,0.42,686.1086
80,4/25/2023 10:13:17 AM,490.4828,0.42,691.0897
81,4/25/2023 10:13:17 AM,488.7958,0.42,695.7944
82,4/25/2023 10:13:18 AM,486.4262,0.42,700.1942
83,4/25/2023 10:13:18 AM,484.4944,0.42,704.8038
84,4/25/2023 10:13:19 AM,482.7149,0.42,709.4742
85,4/25/2023 10:13:19 AM,481.1999,0.42,714.2362
86,4/25/2023 10:13:20 AM,479.7526,0.42,719.0184
87,4/25/2023 10:13:20 AM,478.4037,0.42,723.83
88,4/25/2023 10:13:22 AM,473.5484,0.42,725.0097
89,4/25/2023 10:13:23 AM,468.666,0.42,726.0847
90,4/25/2023 10:13:23 AM,463.7953,0.42,727.2138
91,4/25/2023 10:13:24 AM,458.875,0.42,728.0975
92,4/25/2023 10:13:24 AM,453.8856,0.42,728.4055
93,4/25/2023 10:13:25 AM,448.89,0.42,728.578
94,4/25/2023 10:13:25 AM,443.8914,0.42,728.6207
95,4/25/2023 10:13:26 AM,438.8976,0.42,728.7703
96,4/25/2023 10:13:29 AM,433.9022,0.42,728.9109
97,4/25/2023 10:13:29 AM,428.9078,0.42,729.0908
98,4/25/2023 10:13:30 AM,423.9197,0.42,729.4343
99,4/25/2023 10:13:31 AM,418.9303,0.42,729.734
100,4/25/2023 10:13:31 AM,413.94,0.42,729.9767
101,4/25/2023 10:13:32 AM,408.9467,0.42,730.2012
102,4/25/2023 10:13:33 AM,403.9562,0.42,730.4854
