
Time,TrialNum,TriggerNum,Referencelandmark,Displaylandmark, GroundTruthDirection_x, GroundTruthDirection_y, GroundTruthDirection_z, EstDirection_x, EstDirection_y, EstDirection_z, Angle
10/13/2023 3:32:05 PM,,,,,,,,,,,
Time,TrialNum,TriggerNum,Referencelandmark,Displaylandmark, GroundTruthDirection_x, GroundTruthDirection_y, GroundTruthDirection_z, EstDirection_x, EstDirection_y, EstDirection_z, Angle
10/13/2023 3:32:34 PM,,,,,,,,,,,
Time,TrialNum,TriggerNum,Referencelandmark,Displaylandmark, GroundTruthDirection_x, GroundTruthDirection_y, GroundTruthDirection_z, EstDirection_x, EstDirection_y, EstDirection_z, Angle
10/13/2023 3:32:59 PM,,,,,,,,,,,
Time,TrialNum,TriggerNum,Referencelandmark,Displaylandmark, GroundTruthDirection_x, GroundTruthDirection_y, GroundTruthDirection_z, EstDirection_x, EstDirection_y, EstDirection_z, Angle
10/13/2023 3:34:24 PM,,,,,,,,,,,
Time,TrialNum,TriggerNum,Referencelandmark,Displaylandmark, GroundTruthDirection_x, GroundTruthDirection_y, GroundTruthDirection_z, EstDirection_x, EstDirection_y, EstDirection_z, Angle
10/13/2023 3:37:35 PM,,,,,,,,,,,
10/13/2023 3:38:48 PM,0,1,R1L2_Skyscraper1,R1L1_Bridge,0.8114679,0,0.5838466,0.6427916,0,0.7631692,14.159
10/13/2023 3:38:56 PM,1,2,R1L2_Skyscraper1,R1L3_Church,-0.7019073,0,-0.7029817,-0.7212299,0,-0.6799749,1.730
Time,TrialNum,TriggerNum,Referencelandmark,Displaylandmark, GroundTruthDirection_x, GroundTruthDirection_y, GroundTruthDirection_z, EstDirection_x, EstDirection_y, EstDirection_z, Angle
10/13/2023 3:39:14 PM,,,,,,,,,,,
10/13/2023 3:39:45 PM,0,1,R1L6_SkyScraper2,R1L1_Bridge,0.8460437,0,-0.5330887,-0.9610902,0,-0.01830548,146.694
10/13/2023 3:39:45 PM,1,2,R1L6_SkyScraper2,R1L2_Skyscraper1,0.8460441,0,-0.5330889,-0.9458452,0,-0.02481223,146.283
10/13/2023 3:39:46 PM,2,3,R1L6_SkyScraper2,R1L3_Church,0.3175439,0,-0.9468403,-0.9482709,0,-0.02922621,106.775
10/13/2023 3:39:46 PM,3,4,R1L6_SkyScraper2,R1L4_GasStation,0.2536346,0,-0.9672681,-0.9478331,0,0.001014711,104.755
10/13/2023 3:39:46 PM,4,5,R1L6_SkyScraper2,R1L5_BasketballCourt,0.2536346,0,-0.9672682,-0.9413654,0,0.01939288,105.873
10/13/2023 3:39:47 PM,5,6,R1L6_SkyScraper2,R1L7_FoodMart,0.8070505,0,-0.5895446,-0.9348847,0,0.00811341,144.349
10/13/2023 3:40:39 PM,6,8,R1L1_Bridge,R1L2_Skyscraper1,-0.8401921,0,0.5392682,-0.8947334,0,-0.4390407,58.831
10/13/2023 3:40:40 PM,7,9,R1L1_Bridge,R1L3_Church,-0.7106889,0,-0.698381,-0.9536154,0,-0.2766861,28.320
10/13/2023 3:40:44 PM,8,10,R1L1_Bridge,R1L4_GasStation,-0.994306,0,-0.1062725,-0.9407211,0,0.3290976,25.382
