
Teleport Count,Teleport Time,TeleportPosition_x,TeleportPosition_y,TeleportPosition_z
1,7/29/2023 1:39:33 PM,712.0654,0.42,725.7862
2,7/29/2023 1:43:44 PM,707.068,0.42,725.8208
3,7/29/2023 1:43:54 PM,702.1793,0.42,726.8512
Teleport Count,Teleport Time,TeleportPosition_x,TeleportPosition_y,TeleportPosition_z
1,7/29/2023 1:48:34 PM,707.0251,0.42,724.537
2,7/29/2023 1:51:51 PM,704.3023,0.42,728.7296
3,7/29/2023 1:51:54 PM,699.3342,0.42,729.2696
4,7/29/2023 1:51:57 PM,694.3461,0.42,728.9304
5,7/29/2023 1:51:57 PM,689.3507,0.42,728.7216
6,7/29/2023 1:51:58 PM,684.3609,0.42,728.4761
7,7/29/2023 1:51:58 PM,679.373,0.42,728.1377
8,7/29/2023 1:51:58 PM,674.4189,0.42,727.4915
9,7/29/2023 1:51:59 PM,670.0518,0.42,725.0594
10,7/29/2023 1:52:00 PM,666.1372,0.42,721.955
11,7/29/2023 1:52:00 PM,663.443,0.42,717.7437
12,7/29/2023 1:52:01 PM,660.74,0.42,713.5421
13,7/29/2023 1:52:02 PM,658.9429,0.42,708.8807
14,7/29/2023 1:52:04 PM,657.4828,0.42,713.6622
Teleport Count,Teleport Time,TeleportPosition_x,TeleportPosition_y,TeleportPosition_z
1,7/29/2023 1:54:03 PM,707.0341,0.42,724.4575
